representative,transaction_date,ticker,asset_description,amount,type
Hon. Michael T. McCaul,2021-01-19,SWK,Stanley Black & Decker Inc,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-20,MS,Morgan Stanley,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-20,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-19,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-22,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-26,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-14,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-20,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-19,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-22,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-26,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-14,SFE,Safeguard Scientific Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-13,GBTC,Grayscale Bitcoin Trust,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-11,MO,Altria Group Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-22,BRK.B,Berkshire Hathaway Class B,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-02,BRKS,Brooks Automation Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-21,CSTL,Castle Biosciences Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-11,CHL,China Mobile Limited,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-12-02,CCMP,CMC Materials Inc,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-12-16,CTSH,Cognizant Tech Solutions,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-03,DASTY,Dassult Systems ADR,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-16,DE,Deere & Company,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-24,DXCM,DexCom Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-11,FXM,Fomento Economico Mexicano,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-09,HD,Home Depot,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-21,ICUI,ICU Medical Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-03,IFNNY,Infineon Technologies,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-08,MEDP,Medpace Holdings,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-16,MS,Morgan Stanley,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-21,PHR,Phreesia Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-11,REGN,Regeneron Pharma,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-12-11,CRM,Salesforce.com Inc,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-12-02,SITE,SiteOne Landscape Supply Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-15,UPS,United Parcel Service,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-12-08,VCYT,Veracyte Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-12-14,VTRS,Viatris Inc,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-20,--,West Fargo N D,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2020-11-06,--,New York ST HSG FIN AGY REV,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2020-11-12,GPN,GLOBALY PAYMENTS INC,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-12,--,NEUCOCRINE BIOSCIENCES INC,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-25,FTNT,FORTINET INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-27,FTNT,FORTINET INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-27,BSX,BOSTON SCIENTIFIC CORP,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-24,FTNT,FORTINET INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-18,MU,MICRON TECHNOLOGY INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,CMCSA,COMCAST CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-04,CMCSA,COMCAST CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-03,MU,MICRON TECHNOLOGY INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,AIT,APPLIED INDUSTRIAL TECHNOLOGIES,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-03,MU,MICRON TECHNOLOGY INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,PLXS,PLEXUS CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,NVT,NVENT ELECTRIC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,FCFS,FIRSTCASH INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-02,--,OHIO HSG FIN AGY SINGLE FAMILY,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,ALAMO TEX CMNTY COLLEGE DIST R,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-18,HON,HONEYWELL INTERTIONAL INC,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-18,WWD,WOODWARD INC,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-04,ACN,ACCENTURE PLC,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-04,BKNG,BOOKING HOLDINGS,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-04,EXPD,EXPEDITORS INTERNATIONAL WASHINGTON INC,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-18,AVY,AVERY DENNISON CORP,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-25,ZTS,ZOETIS INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-12,EPAM,EPAM SYSTEM INC,"$1,001 - $15,000",sale_full
