representative,transaction_date,ticker,asset_description,amount,type
Hon. Josh Gottheimer,2020-03-26,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-03-26,DNTUY,Dentsu Inc Tokyo Unsponsored ADR,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-03-26,EXLS,"ExlService Holdings, Inc.","$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-03-17,GS,"Goldman Sachs Group, Inc.","$15,001 - $50,000",purchase
Hon. Josh Gottheimer,2020-03-26,HQY,"HealthEquity, Inc.","$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-02,HELE,Helen of Troy Limited,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-26,HON,Honeywell International Inc.,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-03-26,HSBC,"HSBC Holdings, plc.","$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-03-02,JBT,John Bean Technologies Corporation,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-03-17,JPM,JP Morgan Chase & Co.,"$15,001 - $50,000",purchase
Hon. Josh Gottheimer,2020-03-27,LULU,Lululemon Athletica inc.,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-03-17,MSFT,Microsoft Corporation,"$15,001 - $50,000",purchase
Hon. Josh Gottheimer,2020-03-20,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-20,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-20,MSFT,Microsoft Corporation,"$100,001 - $250,000",purchase
Hon. Josh Gottheimer,2020-03-20,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$15,001 - $50,000",purchase
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-12,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$15,001 - $50,000",purchase
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$100,001 - $250,000",purchase
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$100,001 - $250,000",purchase
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$100,001 - $250,000",sale_full
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$100,001 - $250,000",purchase
Hon. Josh Gottheimer,2020-03-06,MSFT,Microsoft Corporation,"$50,001 - $100,000",sale_full
Hon. Josh Gottheimer,2020-03-24,MSFT,Microsoft Corporation,"$50,001 - $100,000",purchase
Hon. Josh Gottheimer,2020-03-17,MSFT,Microsoft Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-13,NSRGY,Nestle SA Sponsored ADR Representing Registered Shares Series B,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-12,NCLTY,Nitori Holdings Co LTD ADR,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-11,NCLTY,Nitori Holdings Co Ltd ADR,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-02,PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-03-02,QDEL,Quidel Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-27,ROP,"Roper Technologies, Inc.","$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-03-26,SQ,"Square, Inc. Class A","$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-18,SBUX,Starbucks Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-03-12,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-03-17,BX,The Blackstone Group Inc. Class A,"$15,001 - $50,000",purchase
Hon. Josh Gottheimer,2020-03-26,DSGX,The Descartes Systems Group Inc.,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-26,UL,Unilever PLC,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-03-17,UAL,"United Airlines Holdings, Inc.","$15,001 - $50,000",purchase
Hon. Donald Sternoff Beyer,2020-07-14,ACN,Accenture plc Class A Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,GOOG,Alphabet Inc. - Class C Capital Stock,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,AMZN,"Amazon.com, Inc.","$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,AAPL,Apple Inc.,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-10,ASML,ASML Holding N.V. - New York Registry Shares,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,BRK.B,Berkshire Hathaway Inc. New,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-01,--,Bexar Cnty Tex Health 6.2% 07/01/45,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-02,TDDXX,BLF FedFund,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-01,TDDXX,BLF FedFund,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-10,TDDXX,BLF FedFund,"$50,001 - $100,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-27,TDDXX,BLF FedFund,"$1,001 - $15,000",purchase
Hon. Donald Sternoff Beyer,2020-07-14,TDDXX,BLF FedFund,"$1,000,001 - $5,000,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,C,"Citigroup, Inc.","$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-10,CME,CME Group Inc. - Class A,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,CGNX,Cognex Corporation,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,COST,Costco Wholesale Corporation,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,CYRX,"CryoPort, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,DAIUF,Daifuku Co Ltd Ordinary Shares,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,--,District of Columbia 4.00% 04-01- 32,"$50,001 - $100,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,--,District of Columbia 4.00% 06-01- 35,"$50,001 - $100,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,ECL,Ecolab Inc.,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,EL,"Estee Lauder Companies, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,FANUF,Fanuc Limited Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,GS,"Goldman Sachs Group, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,GH,"Guardant Health, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,ILMN,"Illumina, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-27,PI,"Impinj, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-10,NTLA,"Intellia Therapeutics, Inc.","$1,001 - $15,000",purchase
Hon. Donald Sternoff Beyer,2020-07-14,ISRG,"Intuitive Surgical, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,IAU,Ishares gold Trust,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,LDNXF,London Stock Exchange Group plc Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,LVMHF,LVMH Moet Hennessy Louis Vuitton Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,MSFT,Microsoft Corporation,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,MSCI,MSCI Inc,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,NDAQ,"Nasdaq, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,NSRGY,Nestle SA Sponsored ADR Representing Registered Shares Series B,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,NEE,"NextEra Energy, Inc.","$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,NKE,"Nike, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,NVS,Novartis AG,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,NVDA,NVIDIA Corporation,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,PEP,"Pepsico, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-10,REGN,"Regeneron Pharmaceuticals, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,RHHBF,Roche Holdings AG Basel Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,ROP,"Roper Technologies, Inc.","$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,SPLK,Splunk Inc.,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,SQ,"Square, Inc. Class A","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,TGT,Target Corporation,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,TDOC,"Teladoc Health, Inc.","$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,TRNO,Terreno Realty Corporation,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,TJX,"TJX Companies, Inc.","$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,UNH,UnitedHealth Group Incorporated Common Stock,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,VZ,Verizon Communications Inc.,"$1,001 - $15,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,V,Visa Inc.,"$15,001 - $50,000",sale_full
Hon. Donald Sternoff Beyer,2020-07-14,DIS,Walt Disney Company,"$1,001 - $15,000",sale_full
Hon. Dean Phillips,2020-07-30,TFC,Truist Financial Corporation,"$1,001 - $15,000",purchase
Hon. Dean Phillips,2020-07-21,--,Viacom Inc Var Rt 02/28/2057 dtd 02/28/2017,"$1,001 - $15,000",sale_partial
Hon. Kevin Hern,2022-03-18,C,Citigroup Global Markets Holdings MTN 03/23/2027,"$250,001 - $500,000",purchase
Hon. Kevin Hern,2022-03-31,DVN,Devon Energy Corporation,"$15,001 - $50,000",purchase
Hon. Kevin Hern,2022-03-31,DVN,Devon Energy Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-10,EMR,Emerson Electric Company,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-10,XOM,Exxon Mobil Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-24,HD,Home Depot Inc,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-11,HON,Honeywell International Inc,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-01,INTC,Intel Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-08,JNJ,Johnson & Johnson,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-25,LMT,Lockheed Martin Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-10,MSFT,Microsoft Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-23,MS,Morgan Stanley Fin LLC Ser A MTN 09/23/2025,"$250,001 - $500,000",sale_full
Hon. Kevin Hern,2022-03-15,NEE,NextEra Energy Inc,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-14,PXD,Pioneer Natural Resources Company,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-14,PXD,Pioneer Natural Resource Company,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-14,PXD,Pioneer Natural Resource Company,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-24,RTX,Raytheon Technologies Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-10,ROK,Rockwell Automation Inc,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-22,UNH,UnitedHealth Group Incorporated Common Stock,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2022-03-28,WMB,Williams Companies Inc,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2022-04-06,IFF,International Flavors & Fragrances Inc,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2022-04-05,IFF,International Flavors & Fragrances Inc,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2022-04-06,IFF,International Flavors & Fragrances Inc,"$15,001 - $50,000",sale_partial
Hon. Alan S. Lowenthal,2022-04-06,NVDA,NVIDIA Corporation,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2022-04-06,TJX,TJX Companies Inc,"$1,001 - $15,000",sale_partial
Hon. Kevin Hern,2019-12-04,CLNC,"Colony Credit Real Estate, Inc. Class A","$100,001 - $250,000",sale_full
Hon. Kevin Hern,2019-12-03,--,FS Energy and Power Fund Com,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2019-12-03,--,FS Investment Corp II Com,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2019-12-04,FSK,FS KKR Capital Corp.,"$100,001 - $250,000",sale_full
Hon. Kevin Hern,2019-12-04,SLB,Schlumberger N.V.,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2020-03-04,GOOG,Alphabet Inc. - Class C Capital Stock,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2020-03-05,BA,Boeing Company,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2020-02-19,CSCO,"Cisco Systems, Inc.","$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2020-02-28,--,Global Payments Inc,"$15,001 - $50,000",purchase
Hon. Alan S. Lowenthal,2020-02-27,--,Oracle Corp,"$15,001 - $50,000",purchase
Hon. Alan S. Lowenthal,2020-02-27,--,Paypal Holdings Inc,"$15,001 - $50,000",purchase
Hon. Alan S. Lowenthal,2020-02-27,SH,ProShares Short S&P500,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2020-02-27,RUN,Sunrun Inc.,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-02-25,RUN,Sunrun Inc.,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-02-26,RUN,Sunrun Inc.,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-03-04,TMUS,"T-Mobile US, Inc.","$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2020-02-18,SPCE,"Virgin Galactic Holdings, Inc.","$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-02-20,SPCE,"Virgin Galactic Holdings, Inc.","$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-03-06,SPCE,"Virgin Galactic Holdings, Inc.","$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2020-02-20,VSLR,"Vivint Solar, Inc.","$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2020-02-27,--,Zoetis Inc,"$15,001 - $50,000",purchase
Hon. Kevin Hern,2021-01-11,AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-01-05,--,FS Energy & Power Fund,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-01-11,FSKR,FS KRR Capital Corp. II,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-04-19,--,FS Energy & Power Fund Common,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-04-02,FSKR,FS KKR CAP CORP II COM,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-04-23,--,JNL/Mellon US Stock MKT Index,"$250,001 - $500,000",exchange
Hon. Kevin Hern,2021-04-23,--,JNL/Mellon US Stock MKT Index,"$500,001 - $1,000,000",exchange
Hon. Kevin Hern,2021-04-30,--,Morgan Stanley Fin LLC Ser A MTN 05/06/2026 ZERO CPN,"$1,000,001 - $5,000,000",purchase
Hon. Alan S. Lowenthal,2020-10-01,--,Bank of America Corp MTN Call Make WHole,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2020-07-31,--,CBS Outdoor AMERS CAP LLC,"$15,001 - $50,000",purchase
Hon. Alan S. Lowenthal,2020-01-21,DKNG,DraftKings Inc - Class A,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2020-02-03,DKNG,DraftKings Inc - Class A,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2019-12-03,FNF,Fidelity National Information Services,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2020-11-24,--,Lennar Corp Note Call Make Whole,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2019-06-20,LB,Limited Brands Inc,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2019-05-31,--,Outfront Media Inc Ser B Note 5.625% Due 2/15/2024,"$15,001 - $50,000",purchase
Hon. Alan S. Lowenthal,2021-04-13,SCI,Service Corp International - Bond,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-28,AAPL,Apple Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-27,SAM,Boston Beer Company Inc,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2021-07-23,COF,Capital One Financial Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-22,CTSH,Cognizant Technology Solutions Corporation - Class A,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2021-07-16,CTSH,Cognizant Technology Solutions Corporation - Class A,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-23,DAVA,Endava plc ADR Shares,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-01,FIVE,Five Below Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-01,LOPE,Grand Canyon Education Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-30,IFNNY,Infineon Technologies AG,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-09,LOW,Lowes Companies Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-22,MRNA,Moderna Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-28,NVDA,NVIDIA Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-23,ORCL,Oracle Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-23,PYCR,Paycor HCM Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-16,PNGAY,Ping An Insurance,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-13,PINS,Pinterest Inc Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-23,QTS,QTS Realty Trust Inc Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-27,ROLL,RRC Bearings Incorporated,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-01,REGN,Regeneron Pharmaceuticals Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-30,ROK,Rockwell Automation Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-01,SKY,Skyline Champion Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-20,SNAP,Snap Inc Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-08,SNAP,Snap Inc Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-22,SPOT,Spotify Technology SA Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2021-07-19,SPXC,SPX Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-09,SIVB,SVB Financial Group,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-27,TPR,Tapestry Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-28,TT,Trane Technologies plc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-07-20,TWTR,Twitter Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-07-28,WDAY,Workday Inc - Class A,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-04-14,COIN,Coinbase Global Inc - Class A,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2021-02-22,AZN,AstraZeneca PLC - American Depositary Shares,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2021-02-22,GLD,SPDR Gold Trust,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-02-22,AZN,AstraZeneca PLC - American Depositary Shares,"$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-02-22,GLD,SPDR Gold Trust,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-02-22,AZN,AstraZeneca PLC - American Depositary Shares,"$15,001 - $50,000",purchase
Hon. Alan S. Lowenthal,2021-02-23,FB,Facebook - Class A,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-02-22,GLD,SPDR Gold Trust,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2020-08-24,CRM,Salesforce.com Inc,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-08-25,RUN,Sunrun Inc.,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-08-26,RUN,Sunrun Inc.,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-08-26,RUN,Sunrun Inc.,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-08-24,TJX,"TJX Companies, Inc.","$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2020-08-26,UBER,"Uber Technologies, Inc.","$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2020-08-25,RUN,Sunrun Inc.,"$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2020-08-26,RUN,Sunrun Inc.,"$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2020-08-26,RUN,Sunrun Inc.,"$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2020-08-26,UBER,"Uber Technologies, Inc.","$1,001 -",purchase
Hon. Alan S. Lowenthal,2020-08-24,CRM,Salesforce.com Inc,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-08-26,UBER,"Uber Technologies, Inc.","$1,001 -",purchase
Hon. Alan S. Lowenthal,2020-08-24,CRM,Salesforce.com Inc,"$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2020-08-24,TJX,"TJX Companies, Inc.","$1,001 -",purchase
Hon. Nancy Pelosi,2020-12-22,AB,"AllianceBernstein Holding plc Purchsed 20,000 shares","$500,001 - $1,000,000",purchase
Hon. Nancy Pelosi,2020-12-22,AAPL,Apple Inc. Purchased 100 call options with a strike price of $100 and an expiration date of 1/21/22.,"$250,001 - $500,000",purchase
Hon. Nancy Pelosi,2020-12-22,TSLA,Tesla Inc. Purchased 25 call options with a strike price of $500 and an expiration date of 3/18/22.,"$500,001 - $1,000,000",purchase
Hon. Nancy Pelosi,2020-12-22,DIS,The Walt Disney Company. Purchased 100 call options with a strike price of $100 and an expiration date of 1/21/22.,"$500,001 - $1,000,000",purchase
Hon. Alan S. Lowenthal,2022-01-21,HD,Home Depot Inc,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-02-11,PAIDX,Pimco short asset investment fund - Institutional class,"$500,001 - $1,000,000",purchase
Hon. Michael T. McCaul,2021-02-18,FB,Facebook Inc,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-02-05,--,PENNSYLVANIA HSG FIN AGY SINGL,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-02-02,--,Wisconsin ST,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-02-05,AMZN,Amazon Inc,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-02-17,--,Columbus Ohio,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-02-26,WLTL,Willis Towers Watson,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-02-25,LBRDA,Liberty Broadband Corp Series C,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-18,--,HOUSTON TX,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-02-08,--,New Mexico St Severance Tax,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-02-18,--,Houston TX,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-02-02,FMS,Fresenius Med Care,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-02-02,NVT,nVent Electric,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-02-26,SNN,Smith & Nephew PLC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-02,PLXS,PLEXUS Corp,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-26,35G.SG,GENPACT LTD,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-02,FCFS,FirstCash Inc,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-26,HSIC,Henry Schein Inc,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-26,PLXS,PLEXUS CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-02-11,--,SOUTH DAKOTA HSG DEV AUTH,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-02-25,ETN,EATON CORP PLC,"$1,001 - $15,000",sale_full
