owner,ticker,type,amount,representative,trans_price,response
joint,MSFT,sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,204.6806640625,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,284.9263610839844,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,331.6402587890625,0
undisclosed,MSFT,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,295.1484680175781,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,200.25991821289065,1
undisclosed,MSFT,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,191.71310424804688,1
joint,MSFT,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,292.21392822265625,0
joint,MSFT,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,292.21392822265625,0
joint,MSFT,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,292.21392822265625,0
joint,MSFT,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,292.21392822265625,0
joint,MSFT,purchase,"$100,001 - $250,000",Hon. Kevin Hern,279.1208190917969,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,287.8296203613281,0
joint,MSFT,sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,298.095703125,0
joint,MSFT,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,197.0376739501953,1
undisclosed,MSFT,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,234.4794921875,1
undisclosed,MSFT,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,239.13409423828125,1
joint,MSFT,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,211.1923370361328,1
joint,MSFT,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,211.1923370361328,1
joint,MSFT,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,211.1923370361328,1
joint,MSFT,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,211.1923370361328,1
joint,MSFT,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,211.1923370361328,1
joint,MSFT,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,211.1923370361328,1
joint,MSFT,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,321.16619873046875,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,306.3188171386719,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,295.40692138671875,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,153.75892639160156,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,161.7810821533203,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,202.24082946777344,1
self,MSFT,purchase,"$100,001 - $250,000",Hon. Nancy Pelosi,158.71473693847656,1
self,MSFT,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,174.95750427246094,1
joint,MSFT,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,162.14353942871094,1
undisclosed,MSFT,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,181.1489715576172,1
joint,MSFT,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,179.43455505371094,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,937.4099731445312,0
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,936.719970703125,0
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,599.0499877929688,1
joint,TSLA,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,907.3400268554688,0
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,303.3599853515625,1
self,TSLA,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,640.3400268554688,1
undisclosed,TSLA,purchase,"$50,001 - $100,000",Hon. Gilbert Cisneros,640.3400268554688,1
self,TSLA,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,871.5999755859375,0
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,670.0,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,707.9400024414062,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,668.0599975585938,1
undisclosed,TSLA,purchase,"$1,001 - $15,000",Hon. Dean Phillips,735.1099853515625,0
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,691.0499877929688,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,709.4400024414062,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,429.9500122070313,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,69.01799774169922,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,408.5,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,408.0899963378906,1
joint,TSLA,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,864.27001953125,0
undisclosed,TSLA,purchase,"$50,001 - $100,000",Hon. Dean Phillips,695.0,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,150.7779998779297,1
joint,TSLA,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,163.37600708007812,1
undisclosed,AAPL,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,145.24868774414062,1
joint,AAPL,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,69.73046112060547,1
undisclosed,AAPL,purchase,"$1,001 - $15,000",Hon. Dean Phillips,105.98934936523438,1
undisclosed,AAPL,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,72.0649185180664,1
joint,AAPL,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,75.82740020751953,1
self,AAPL,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,73.78591918945312,1
self,AAPL,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,73.78591918945312,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,79.679443359375,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,76.81497955322266,1
joint,AAPL,purchase,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,76.81497955322266,1
self,AAPL,sale_full,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,86.8477783203125,1
undisclosed,AAPL,purchase,"$15,001 - $50,000",Hon. Gilbert Cisneros,117.5902862548828,1
joint,AAPL,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,71.18334197998047,1
joint,AAPL,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,74.79580688476562,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,113.73670196533205,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,118.33364868164062,1
joint,AAPL,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,91.69969177246094,1
undisclosed,AAPL,purchase,"$15,001 - $50,000",Hon. Gilbert Cisneros,114.1028060913086,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,78.04576110839844,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,78.55357360839844,1
self,AAPL,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,147.11000061035156,1
self,AAPL,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,140.36000061035156,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,72.13139343261719,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,55.250999450683594,1
joint,AAPL,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,56.45022964477539,1
joint,AAPL,sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,95.86021423339844,1
joint,AAPL,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,144.15640258789062,1
self,AAPL,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,130.71315002441406,1
self,AAPL,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,119.60411071777344,1
self,AAPL,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,119.60411071777344,1
joint,AAPL,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,122.4810028076172,1
joint,AAPL,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,123.07658386230467,1
undisclosed,AAPL,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,166.17584228515625,0
