disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2022,02/18/2022,2022-01-31,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False,2022-01-31,936.719970703125,2022-06-09,725.5999755859375
2021,07/15/2021,2021-06-04,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-04,599.0499877929688,2022-06-09,725.5999755859375
2022,03/18/2022,2022-02-07,joint,TSLA,Tesla Inc,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-07,907.3400268554688,2022-06-09,725.5999755859375
2020,08/10/2020,2020-07-14,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017128.pdf,False,2020-07-14,303.3599853515625,2022-06-09,725.5999755859375
2021,01/21/2021,2020-12-22,self,TSLA,Tesla Inc. Purchased 25 call options with a strike price of $500 and an expiration date of 3/18/22.,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018011.pdf,False,2020-12-22,640.3400268554688,2022-06-09,725.5999755859375
2021,01/11/2021,2020-12-22,,TSLA,"Tesla, Inc. (U.S. Trust Holdings)",purchase,"$50,001 - $100,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,False,2020-12-22,640.3400268554688,2022-06-09,725.5999755859375
2022,03/21/2022,2022-03-17,self,TSLA,Tesla Inc - Exercised 25 Call options 2.5K shares expiring 3/18/22 @ $500,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020662.pdf,False,2022-03-17,871.5999755859375,2022-06-09,725.5999755859375
2021,04/21/2021,2021-03-22,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,False,2021-03-22,670.0,2022-06-09,725.5999755859375
2021,04/21/2021,2021-03-15,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,False,2021-03-15,707.9400024414062,2022-06-09,725.5999755859375
2021,04/21/2021,2021-03-10,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,False,2021-03-10,668.0599975585938,2022-06-09,725.5999755859375
2021,02/13/2021,2021-01-05,,TSLA,Tesla Inc,purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018175.pdf,False,2021-01-05,735.1099853515625,2022-06-09,725.5999755859375
2021,05/07/2021,2021-04-05,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018699.pdf,False,2021-04-05,691.0499877929688,2022-06-09,725.5999755859375
2021,05/07/2021,2021-04-30,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018699.pdf,False,2021-04-30,709.4400024414062,2022-06-09,725.5999755859375
2021,05/07/2021,2021-04-30,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018699.pdf,False,2021-04-30,709.4400024414062,2022-06-09,725.5999755859375
2020,12/09/2020,2020-11-06,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,True,2020-11-06,429.9500122070313,2022-06-09,725.5999755859375
2020,12/09/2020,2019-11-11,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,True,2019-11-11,69.01799774169922,2022-06-09,725.5999755859375
2020,12/09/2020,2020-11-13,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,True,2020-11-13,408.5,2022-06-09,725.5999755859375
2020,12/09/2020,2020-11-16,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,True,2020-11-16,408.0899963378906,2022-06-09,725.5999755859375
2021,11/15/2021,2021-10-19,joint,TSLA,Tesla Inc,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-19,864.27001953125,2022-06-09,725.5999755859375
2021,01/09/2021,2020-12-18,,TSLA,Tesla Inc,purchase,"$50,001 - $100,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017991.pdf,False,2020-12-18,695.0,2022-06-09,725.5999755859375
2020,05/13/2020,2020-04-17,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016556.pdf,False,2020-04-17,150.7779998779297,2022-06-09,725.5999755859375
2020,06/10/2020,2020-05-22,joint,TSLA,"Tesla, Inc.",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016732.pdf,False,2020-05-22,163.37600708007812,2022-06-09,725.5999755859375
2021,09/08/2021,2021-08-11,,AAPL,Apple Inc,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False,2021-08-11,145.24868774414062,2022-06-09,147.9600067138672
2020,05/09/2020,2020-04-27,joint,AAPL,Apple Inc.,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,False,2020-04-27,69.73046112060547,2022-06-09,147.9600067138672
2020,10/09/2020,2020-09-23,,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017490.pdf,False,2020-09-23,105.98934936523438,2022-06-09,147.9600067138672
2020,03/16/2020,2020-02-26,,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-26,72.0649185180664,2022-06-09,147.9600067138672
2020,03/16/2020,2020-02-03,joint,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-03,75.82740020751953,2022-06-09,147.9600067138672
2020,01/13/2020,2020-01-02,self,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013914.pdf,False,2020-01-02,73.78591918945312,2022-06-09,147.9600067138672
2020,01/13/2020,2020-01-02,self,AAPL,Apple Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013915.pdf,False,2020-01-02,73.78591918945312,2022-06-09,147.9600067138672
2020,02/10/2020,2020-01-29,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,False,2020-01-29,79.679443359375,2022-06-09,147.9600067138672
2020,02/10/2020,2020-01-14,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,False,2020-01-14,76.81497955322266,2022-06-09,147.9600067138672
2020,02/22/2020,2020-01-14,joint,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,False,2020-01-14,76.81497955322266,2022-06-09,147.9600067138672
2020,07/20/2020,2020-06-18,self,AAPL,Apple Inc.,sale_full,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf,False,2020-06-18,86.8477783203125,2022-06-09,147.9600067138672
2020,12/15/2020,2020-11-19,,AAPL,Apple,purchase,"$15,001 - $50,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017860.pdf,False,2020-11-19,117.5902862548828,2022-06-09,147.9600067138672
2020,05/31/2020,2020-05-01,joint,AAPL,Apple Inc.,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,False,2020-05-01,71.18334197998047,2022-06-09,147.9600067138672
2020,05/31/2020,2020-05-07,joint,AAPL,Apple Inc.,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,False,2020-05-07,74.79580688476562,2022-06-09,147.9600067138672
2020,12/01/2020,2020-11-04,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017748.pdf,False,2020-11-04,113.73670196533205,2022-06-09,147.9600067138672
2020,12/01/2020,2020-11-17,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017748.pdf,False,2020-11-17,118.33364868164062,2022-06-09,147.9600067138672
2020,08/10/2020,2020-07-23,joint,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017128.pdf,False,2020-07-23,91.69969177246094,2022-06-09,147.9600067138672
2020,11/05/2020,2020-10-29,,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017632.pdf,False,2020-10-29,114.1028060913086,2022-06-09,147.9600067138672
2020,02/22/2020,2020-01-28,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,False,2020-01-28,78.04576110839844,2022-06-09,147.9600067138672
2020,02/22/2020,2020-02-18,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016101.pdf,False,2020-02-18,78.55357360839844,2022-06-09,147.9600067138672
2022,06/03/2022,2022-05-13,self,AAPL,Apple Inc - 100 Call options strike of $80 expires 3/17/23,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf,False,2022-05-13,147.11000061035156,2022-06-09,147.9600067138672
2022,06/03/2022,2022-05-24,self,AAPL,Apple Inc - 50 Call options strike of $80 expires 6/16/23,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf,False,2022-05-24,140.36000061035156,2022-06-09,147.9600067138672
2020,04/11/2020,2020-03-05,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-05,72.13139343261719,2022-06-09,147.9600067138672
2020,04/11/2020,2020-03-23,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-23,55.250999450683594,2022-06-09,147.9600067138672
2020,04/11/2020,2020-03-20,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-20,56.45022964477539,2022-06-09,147.9600067138672
2020,08/09/2020,2020-07-14,joint,AAPL,Apple Inc.,sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017058.pdf,False,2020-07-14,95.86021423339844,2022-06-09,147.9600067138672
2021,08/09/2021,2021-07-28,joint,AAPL,Apple Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019257.pdf,False,2021-07-28,144.15640258789062,2022-06-09,147.9600067138672
2021,01/21/2021,2020-12-22,self,AAPL,Apple Inc. Purchased 100 call options with a strike price of $100 and an expiration date of 1/21/22.,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018011.pdf,False,2020-12-22,130.71315002441406,2022-06-09,147.9600067138672
2020,09/15/2020,2020-09-03,self,AAPL,Apple Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017377.pdf,True,2020-09-03,119.60411071777344,2022-06-09,147.9600067138672
2020,09/15/2020,2020-09-03,self,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017378.pdf,False,2020-09-03,119.60411071777344,2022-06-09,147.9600067138672
2021,04/21/2021,2021-03-22,joint,AAPL,Apple Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,False,2021-03-22,122.4810028076172,2022-06-09,147.9600067138672
2021,04/21/2021,2021-03-15,joint,AAPL,Apple Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,False,2021-03-15,123.07658386230467,2022-06-09,147.9600067138672
2022,05/17/2022,2022-04-21,,AAPL,Apple Inc,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218777.pdf,False,2022-04-21,166.17584228515625,2022-06-09,147.9600067138672
2020,07/22/2020,2020-06-19,,AAPL,Apple,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217406.pdf,False,2020-06-19,86.35148620605469,2022-06-09,147.9600067138672
2022,04/17/2022,2022-03-09,joint,AAPL,Apple Inc,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,False,2022-03-09,162.7109375,2022-06-09,147.9600067138672
2022,04/17/2022,2022-03-15,joint,AAPL,Apple Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,False,2022-03-15,154.86245727539062,2022-06-09,147.9600067138672
2022,01/12/2022,2021-12-30,self,AAPL,Apple Inc - Contribution of 3K shares held personally to the Paul F Pelosi Endowed Fund Georgetown University,sale_partial,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020208.pdf,False,2021-12-30,177.71214294433594,2022-06-09,147.9600067138672
2022,01/12/2022,2021-12-30,self,AAPL,Apple Inc - Contribution of 3K shares held personally to Trinity College,sale_partial,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020208.pdf,False,2021-12-30,177.71214294433594,2022-06-09,147.9600067138672
2020,07/09/2020,2020-06-26,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf,False,2020-06-26,87.31692504882812,2022-06-09,147.9600067138672
2021,07/02/2021,2021-05-21,self,AAPL,Apple Inc,purchase,"$100,001 - $250,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019004.pdf,False,2021-05-21,124.71746063232422,2022-06-09,147.9600067138672
2021,11/15/2021,2021-10-29,joint,AAPL,Apple Inc,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-29,149.17218017578125,2022-06-09,147.9600067138672
2020,01/02/2020,2019-12-23,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf,False,2019-12-23,69.76927947998047,2022-06-09,147.9600067138672
2022,05/16/2022,2022-04-19,joint,AAPL,Apple Inc,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020956.pdf,False,2022-04-19,167.15440368652344,2022-06-09,147.9600067138672
2020,12/10/2020,2020-11-06,self,AAPL,Apple Inc.,sale_partial,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017834.pdf,False,2020-11-06,117.63983917236328,2022-06-09,147.9600067138672
2022,02/28/2022,2022-01-21,self,AAPL,Apple Inc - Excercised 100 Call options (10K shares) expiry 01/21/2022 @ $100,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020515.pdf,False,2022-01-21,161.9653778076172,2022-06-09,147.9600067138672
2020,06/09/2020,2020-05-08,self,AAPL,Apple Inc.,sale_partial,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf,True,2020-05-08,76.57608795166016,2022-06-09,147.9600067138672
2020,06/09/2020,2020-05-08,self,AAPL,Apple Inc.,sale_partial,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf,True,2020-05-08,76.57608795166016,2022-06-09,147.9600067138672
2020,06/09/2020,2020-05-08,self,AAPL,Apple Inc.,sale_partial,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf,True,2020-05-08,76.57608795166016,2022-06-09,147.9600067138672
2020,10/13/2020,2020-09-15,joint,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017476.pdf,False,2020-09-15,114.32048034667967,2022-06-09,147.9600067138672
2020,05/07/2020,2020-04-02,,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016559.pdf,False,2020-04-02,60.31388092041016,2022-06-09,147.9600067138672
2020,05/13/2020,2020-04-20,joint,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016556.pdf,False,2020-04-20,68.19387817382812,2022-06-09,147.9600067138672
2020,06/10/2020,2020-05-18,,AAPL,Apple Inc.,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016732.pdf,False,2020-05-18,77.7686767578125,2022-06-09,147.9600067138672
2020,03/10/2020,2020-02-25,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016214.pdf,False,2020-02-25,20.799999237060547,2022-06-09,27.6299991607666
2020,03/11/2020,2020-02-25,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016229.pdf,False,2020-02-25,20.799999237060547,2022-06-09,27.6299991607666
2020,03/10/2020,2020-02-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016214.pdf,False,2020-02-26,20.90999984741211,2022-06-09,27.6299991607666
2020,03/11/2020,2020-02-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016229.pdf,False,2020-02-26,20.90999984741211,2022-06-09,27.6299991607666
2020,03/10/2020,2020-02-27,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016214.pdf,False,2020-02-27,20.270000457763672,2022-06-09,27.6299991607666
2020,03/11/2020,2020-02-27,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016229.pdf,False,2020-02-27,20.270000457763672,2022-06-09,27.6299991607666
2020,10/28/2020,2020-10-13,self,RUN,Sunrun Inc.,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017590.pdf,False,2020-10-13,65.3499984741211,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
